MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID
g000007_900023,129.012969,35.2071095,2023-04-29 08:37,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:39,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:41,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:43,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:45,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:47,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:49,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:50,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:52,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:54,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:56,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:58,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:00,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:02,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:04,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:06,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:08,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:09,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:11,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:13,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:15,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:17,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:19,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:21,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:23,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:25,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:27,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:29,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:31,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:32,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:34,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:36,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:38,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:40,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 09:42,g_g000007
g000007_900023,129.0128258,35.2070524,2023-04-29 09:44,g_g000007
g000007_900023,129.0128258,35.2070524,2023-04-29 09:46,g_g000007
g000007_900023,129.0128258,35.2070524,2023-04-29 09:47,g_g000007
g000007_900023,129.0128258,35.2070524,2023-04-29 09:49,g_g000007
