TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f016414,시외버스 티켓,1,2,,,,,,,2023-09-04 21:22,1,8600,버스표 ,
f_f016414,시외버스 티켓,2,2,1048183559,티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-04 21:13,1,8600,버스표 ,
f_f016415,얼음생수,0,3,,케이마트,258-10 지하,,,,,3,3000,,1174010200
f_f016424,Srt 및 시외버스 티켓,2,1,6058183799,해운대고속(주),부산 해운대구 해운대로 641,부산 해운대구 우동 592-23,2006010,2635010500,2023-09-09 20:30,1,14000,버스표,
f_f016502,주유,1,2,2051355089,민락주유소,경기 의정부시 민락로 403,경기 의정부시 낙양동 740,3181013,4115010700,2023-09-14 08:02,1,30000,주유비,
f_f016512,커피및음료,1,4,3250802301,컴포즈커피,서울 송파구 위례송파로 123,서울 송파구 거여동 651,3352706,1171011300,2023-09-17 09:20,1,9600,망고스무디;카페라떼(ICE) ,
f_f016529,구명조끼,1,2,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,,3,33980,"버팔로 부력보조복 2종 세트,블랙,L,2XL",
f_f016590,대용량 보조배터리,1,1,5038185147,(주)명성,대구 동구 이노밸리로 44,대구 동구 율암동 1103-2,3142050,2714012000,,1,32310,"쿨린 고속충전 대용량 보조배터리 20000mAh 22.5W CL322,블랙",
f_f016628,Itx 티켓,1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-12 12:45,3,8200,기차표,
f_f016628,Itx 티켓,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-17 07:02,3,9800,기차표,
f_f016655,커피 생수 간식 구매,0,1,,이마트24편의점,한신휴플러스,,,,,3,7000,,2638010700
f_f016689,생수; 찐옥수수; 캔커피; 박카스,0,3,,주식회사에이치에스마트,세병로19,,,,,1,15000,,2647010200
f_f016703,레고랜드 입장권,1,4,2118841856,(주)티몬 ,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-09-15 00:00,1,70000,춘천 레고랜드 AFTER 3 오후이용권,
f_f016703,레고랜드 입장권,2,4,,레고랜드코리아 유한회사,강원특별자치도 춘천시 하중도길 128,강원특별자치도 춘천시 중도동 603,4454745,5111012900,2023-09-11 00:00,1,60000,입장권,
f_f016765,옷,1,1,3088701957,주식회사 에스티지씨,서울 광진구 능동로 243-1,서울 광진구 군자동 228,3104007,1121510900,2023-08-20 10:11,1,25446,소르베 나일론 원피스,
f_f016772,간식(빵),1,5,1062351785,파리바게트,부산 해운대구 재반로 204-1,부산 해운대구 반여동 1291-797,3133035,2635010300,2023-09-17 15:29,1,20400,,
